0,norms
"other vegetables,whole milk,yogurt,rolls/buns,newspapers","newspapers,other vegetables,rolls buns,whole milk,yogurt"
"root vegetables,other vegetables,yogurt,rolls/buns,flour","flour,other vegetables,rolls buns,root vegetables,yogurt"
bottled water,bottled water
whole milk,whole milk
"root vegetables,whole milk,roll products","roll products,root vegetables,whole milk"
"tropical fruit,pip fruit,other vegetables,frozen vegetables,ice cream,brown bread,pastry,flour,pickled vegetables,coffee,soda,misc. beverages,fruit/vegetable juice","brown bread,coffee,flour,frozen vegetables,fruit vegetable juice,ice cream,misc beverages,other vegetables,pastry,pickled vegetables,pip fruit,soda,tropical fruit"
"butter,curd,dessert,cream cheese,canned beer,candy,shopping bags","butter,candy,canned beer,cream cheese,curd,dessert,shopping bags"
flower soil/fertilizer,flower soil fertilizer
"pasta,soda,snack products,cake bar","cake bar,pasta,snack products,soda"
"other vegetables,dessert,candy,abrasive cleaner,dishes,cling film/bags,candles","abrasive cleaner,candles,candy,cling film bags,dessert,dishes,other vegetables"
"other vegetables,curd,yogurt,UHT-milk,brown bread,bottled water,newspapers,shopping bags","bottled water,brown bread,curd,newspapers,other vegetables,shopping bags,uht milk,yogurt"
beef,beef
root vegetables,root vegetables
"whole milk,frozen vegetables,coffee","coffee,frozen vegetables,whole milk"
"pork,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pastry,jam,soda,waffles,candy,napkins","butter,candy,domestic eggs,jam,napkins,other vegetables,pastry,pork,processed cheese,rolls buns,root vegetables,soda,waffles,whipped sour cream,white bread,whole milk"
"beef,other vegetables","beef,other vegetables"
specialty bar,specialty bar
salty snack,salty snack
"sausage,ham,grapes,other vegetables,bottled water,misc. beverages,brandy,shopping bags","bottled water,brandy,grapes,ham,misc beverages,other vegetables,sausage,shopping bags"
"tropical fruit,frozen meals,rolls/buns,bottled beer,newspapers","bottled beer,frozen meals,newspapers,rolls buns,tropical fruit"
canned beer,canned beer
"pip fruit,grapes,whole milk,yogurt,spread cheese,brown bread,semi-finished bread,rice,pickled vegetables,bottled beer,newspapers,potted plants","bottled beer,brown bread,grapes,newspapers,pickled vegetables,pip fruit,potted plants,rice,semi finished bread,spread cheese,whole milk,yogurt"
turkey,turkey
other vegetables,other vegetables
"sausage,beef,citrus fruit,tropical fruit,nuts/prunes,root vegetables,other vegetables,whole milk,mayonnaise,oil,baking powder,pickled vegetables,chocolate,newspapers","baking powder,beef,chocolate,citrus fruit,mayonnaise,newspapers,nuts prunes,oil,other vegetables,pickled vegetables,root vegetables,sausage,tropical fruit,whole milk"
"frankfurter,pip fruit,nuts/prunes,onions,specialty cheese,brown bread,soda,fruit/vegetable juice,salty snack,chocolate,male cosmetics,shopping bags","brown bread,chocolate,frankfurter,fruit vegetable juice,male cosmetics,nuts prunes,onions,pip fruit,salty snack,shopping bags,soda,specialty cheese"
"citrus fruit,whole milk,soft cheese,rice,margarine,sugar,soups,bottled water","bottled water,citrus fruit,margarine,rice,soft cheese,soups,sugar,whole milk"
"chicken,pork,frozen vegetables,soda","chicken,frozen vegetables,pork,soda"
"citrus fruit,tropical fruit,other vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,sliced cheese,hard cheese,roll products,margarine,soda,misc. beverages,fruit/vegetable juice,chocolate,newspapers","butter,chocolate,citrus fruit,fruit vegetable juice,hard cheese,margarine,misc beverages,newspapers,other vegetables,roll products,sliced cheese,soda,soft cheese,tropical fruit,whipped sour cream,whole milk,yogurt"
"flour,sugar,cat food,misc. beverages,waffles","cat food,flour,misc beverages,sugar,waffles"
baking powder,baking powder
"finished products,tropical fruit,pip fruit,other vegetables,whole milk,frozen fish,pastry,canned fish,seasonal products,dental care,hygiene articles,potted plants","canned fish,dental care,finished products,frozen fish,hygiene articles,other vegetables,pastry,pip fruit,potted plants,seasonal products,tropical fruit,whole milk"
"frankfurter,rolls/buns,margarine,soda","frankfurter,margarine,rolls buns,soda"
"chicken,curd,UHT-milk,cream cheese,margarine,coffee,salty snack,waffles,dishes","chicken,coffee,cream cheese,curd,dishes,margarine,salty snack,uht milk,waffles"
"chicken,other vegetables,whole milk,domestic eggs,oil,margarine,sugar,coffee,bottled beer,specialty bar,candy","bottled beer,candy,chicken,coffee,domestic eggs,margarine,oil,other vegetables,specialty bar,sugar,whole milk"
"sausage,beef,whole milk,pastry","beef,pastry,sausage,whole milk"
"beef,other vegetables,margarine,soda","beef,margarine,other vegetables,soda"
"whole milk,frozen meals,specialty chocolate","frozen meals,specialty chocolate,whole milk"
"sausage,other vegetables","other vegetables,sausage"
"other vegetables,potted plants","other vegetables,potted plants"
"onions,roll products","onions,roll products"
"sausage,root vegetables,onions,herbs,other vegetables,UHT-milk,hard cheese,cream cheese,frozen vegetables,rolls/buns,bottled water,soda,bottled beer,red/blush wine","bottled beer,bottled water,cream cheese,frozen vegetables,hard cheese,herbs,onions,other vegetables,red blush wine,rolls buns,root vegetables,sausage,soda,uht milk"
"frankfurter,sausage,tropical fruit,oil,spices,pickled vegetables,bottled water,misc. beverages","bottled water,frankfurter,misc beverages,oil,pickled vegetables,sausage,spices,tropical fruit"
"zwieback,long life bakery product,dental care","dental care,long life bakery product,zwieback"
"chicken,tropical fruit,pip fruit,whipped/sour cream,sugar,baking powder,instant coffee,soda","baking powder,chicken,instant coffee,pip fruit,soda,sugar,tropical fruit,whipped sour cream"
"frankfurter,curd cheese","curd cheese,frankfurter"
"whole milk,whipped/sour cream,semi-finished bread,baking powder,pickled vegetables,bottled water,soda,napkins","baking powder,bottled water,napkins,pickled vegetables,semi finished bread,soda,whipped sour cream,whole milk"
"frozen fish,brandy","brandy,frozen fish"
"berries,whole milk,frozen meals,frozen dessert,rolls/buns,soda,shopping bags","berries,frozen dessert,frozen meals,rolls buns,shopping bags,soda,whole milk"
"chicken,pork,other vegetables,whole milk,butter,curd,margarine,pickled vegetables,waffles,specialty chocolate,hygiene articles","butter,chicken,curd,hygiene articles,margarine,other vegetables,pickled vegetables,pork,specialty chocolate,waffles,whole milk"
"onions,yogurt,ice cream","ice cream,onions,yogurt"
"beef,root vegetables,herbs,packaged fruit/vegetables,whipped/sour cream,cream cheese,vinegar,oil,margarine,soups,pickled vegetables,meat spreads,canned fish,fruit/vegetable juice,candles","beef,candles,canned fish,cream cheese,fruit vegetable juice,herbs,margarine,meat spreads,oil,packaged fruit vegetables,pickled vegetables,root vegetables,soups,vinegar,whipped sour cream"
"root vegetables,whole milk,semi-finished bread,cat food,fruit/vegetable juice,canned beer,liquor (appetizer),waffles,hygiene articles,newspapers,shopping bags","canned beer,cat food,fruit vegetable juice,hygiene articles,liquor appetizer ,newspapers,root vegetables,semi finished bread,shopping bags,waffles,whole milk"
soda,soda
"whole milk,soft cheese,rum","rum,soft cheese,whole milk"
"citrus fruit,butter,dessert,processed cheese,white bread,pickled vegetables,seasonal products,dental care","butter,citrus fruit,dental care,dessert,pickled vegetables,processed cheese,seasonal products,white bread"
"sausage,citrus fruit,whole milk,UHT-milk,specialty cheese,frozen vegetables,tea,bottled water,fruit/vegetable juice","bottled water,citrus fruit,frozen vegetables,fruit vegetable juice,sausage,specialty cheese,tea,uht milk,whole milk"
sparkling wine,sparkling wine
"UHT-milk,cat food,coffee,bottled beer,white wine,sparkling wine,shopping bags","bottled beer,cat food,coffee,shopping bags,sparkling wine,uht milk,white wine"
soda,soda
"curd,cat food,soda","cat food,curd,soda"
"whole milk,processed cheese,mayonnaise,margarine,mustard,cat food,coffee,bottled water","bottled water,cat food,coffee,margarine,mayonnaise,mustard,processed cheese,whole milk"
"frankfurter,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,butter milk,yogurt,frozen dessert,chewing gum","butter milk,chewing gum,curd,frankfurter,frozen dessert,other vegetables,pork,root vegetables,tropical fruit,whole milk,yogurt"
chocolate,chocolate
"other vegetables,processed cheese,tea","other vegetables,processed cheese,tea"
coffee,coffee
"tropical fruit,other vegetables,butter milk,curd cheese,sugar,fruit/vegetable juice,bottled beer,chocolate,candles","bottled beer,butter milk,candles,chocolate,curd cheese,fruit vegetable juice,other vegetables,sugar,tropical fruit"
"beef,fish,yogurt,pastry,soda,specialty chocolate","beef,fish,pastry,soda,specialty chocolate,yogurt"
"whipped/sour cream,domestic eggs,bottled water,soda","bottled water,domestic eggs,soda,whipped sour cream"
"tropical fruit,pip fruit,other vegetables,butter milk,yogurt,whipped/sour cream,UHT-milk,margarine,sugar,waffles","butter milk,margarine,other vegetables,pip fruit,sugar,tropical fruit,uht milk,waffles,whipped sour cream,yogurt"
"UHT-milk,canned beer","canned beer,uht milk"
"root vegetables,semi-finished bread,specialty bar","root vegetables,semi finished bread,specialty bar"
"frankfurter,sausage,butter,dessert,spread cheese,white bread,pastry,coffee,waffles","butter,coffee,dessert,frankfurter,pastry,sausage,spread cheese,waffles,white bread"
"pip fruit,other vegetables,whole milk,butter milk,yogurt,cream cheese,pasta,fruit/vegetable juice,dental care,hygiene articles,kitchen towels,photo/film","butter milk,cream cheese,dental care,fruit vegetable juice,hygiene articles,kitchen towels,other vegetables,pasta,photo film,pip fruit,whole milk,yogurt"
"pip fruit,soft cheese,tidbits","pip fruit,soft cheese,tidbits"
whipped/sour cream,whipped sour cream
canned beer,canned beer
oil,oil
"white bread,bottled beer","bottled beer,white bread"
"soda,specialty bar","soda,specialty bar"
hygiene articles,hygiene articles
bottled beer,bottled beer
"dessert,yogurt,brown bread,pastry,soda,long life bakery product,cake bar,light bulbs","brown bread,cake bar,dessert,light bulbs,long life bakery product,pastry,soda,yogurt"
"cereals,specialty chocolate,potted plants","cereals,potted plants,specialty chocolate"
canned beer,canned beer
"frankfurter,soda,shopping bags","frankfurter,shopping bags,soda"
"sausage,other vegetables,cream cheese,domestic eggs,soda","cream cheese,domestic eggs,other vegetables,sausage,soda"
"UHT-milk,cream cheese,spread cheese,rolls/buns","cream cheese,rolls buns,spread cheese,uht milk"
"misc. beverages,specialty chocolate","misc beverages,specialty chocolate"
baking powder,baking powder
"bottled water,soda","bottled water,soda"
"meat,chicken,berries,yogurt,whipped/sour cream,cream cheese,mayonnaise,brown bread,long life bakery product","berries,brown bread,chicken,cream cheese,long life bakery product,mayonnaise,meat,whipped sour cream,yogurt"
"bottled water,bottled beer","bottled beer,bottled water"
"pork,pip fruit","pip fruit,pork"
"tropical fruit,pip fruit,soda,white wine","pip fruit,soda,tropical fruit,white wine"
"citrus fruit,pip fruit,root vegetables,other vegetables,butter,UHT-milk,frozen vegetables,pastry,margarine,sugar,soups,soda,bottled beer,long life bakery product,softener","bottled beer,butter,citrus fruit,frozen vegetables,long life bakery product,margarine,other vegetables,pastry,pip fruit,root vegetables,soda,softener,soups,sugar,uht milk"
"rolls/buns,soda,canned beer","canned beer,rolls buns,soda"
"meat spreads,specialty bar","meat spreads,specialty bar"
"brown bread,bottled water,specialty bar","bottled water,brown bread,specialty bar"
bottled water,bottled water
"frankfurter,UHT-milk,oil,bottled water,canned beer","bottled water,canned beer,frankfurter,oil,uht milk"
"pork,citrus fruit,pip fruit,root vegetables,other vegetables,dessert,butter milk,sliced cheese,processed cheese,fruit/vegetable juice,chocolate,shopping bags","butter milk,chocolate,citrus fruit,dessert,fruit vegetable juice,other vegetables,pip fruit,pork,processed cheese,root vegetables,shopping bags,sliced cheese"
"yogurt,hard cheese,rolls/buns,sweet spreads,soda,misc. beverages,specialty chocolate,hygiene articles,napkins","hard cheese,hygiene articles,misc beverages,napkins,rolls buns,soda,specialty chocolate,sweet spreads,yogurt"
soda,soda
canned beer,canned beer
pastry,pastry
"citrus fruit,herbs,other vegetables,curd","citrus fruit,curd,herbs,other vegetables"
citrus fruit,citrus fruit
"sausage,domestic eggs,pastry,bottled water,newspapers","bottled water,domestic eggs,newspapers,pastry,sausage"
decalcifier,decalcifier
"sausage,ham,meat,butter,UHT-milk,mayonnaise,baking powder,bottled water,fruit/vegetable juice","baking powder,bottled water,butter,fruit vegetable juice,ham,mayonnaise,meat,sausage,uht milk"
"beef,chocolate","beef,chocolate"
"hamburger meat,ketchup","hamburger meat,ketchup"
"mayonnaise,white bread,soda","mayonnaise,soda,white bread"
"fruit/vegetable juice,chewing gum","chewing gum,fruit vegetable juice"
"finished products,pip fruit,other vegetables,domestic eggs,margarine,bottled beer,newspapers","bottled beer,domestic eggs,finished products,margarine,newspapers,other vegetables,pip fruit"
"chicken,other vegetables,bottled beer,canned beer,sparkling wine,chocolate,newspapers,potted plants","bottled beer,canned beer,chicken,chocolate,newspapers,other vegetables,potted plants,sparkling wine"
"whole milk,dessert,soda,bottled beer","bottled beer,dessert,soda,whole milk"
"ham,root vegetables,other vegetables,dessert,brown bread,pasta,margarine,bottled water,fruit/vegetable juice,red/blush wine","bottled water,brown bread,dessert,fruit vegetable juice,ham,margarine,other vegetables,pasta,red blush wine,root vegetables"
liquor,liquor
canned beer,canned beer
"dog food,cling film/bags","cling film bags,dog food"
"citrus fruit,tropical fruit,yogurt,UHT-milk,domestic eggs,mustard,canned fish","canned fish,citrus fruit,domestic eggs,mustard,tropical fruit,uht milk,yogurt"
"tropical fruit,dessert,yogurt,domestic eggs,oil,fruit/vegetable juice","dessert,domestic eggs,fruit vegetable juice,oil,tropical fruit,yogurt"
"beef,citrus fruit,root vegetables,bottled water,soda,fruit/vegetable juice,potted plants","beef,bottled water,citrus fruit,fruit vegetable juice,potted plants,root vegetables,soda"
photo/film,photo film
"chicken,butter,UHT-milk,spread cheese,bottled beer,salty snack,waffles,chewing gum","bottled beer,butter,chewing gum,chicken,salty snack,spread cheese,uht milk,waffles"
"sausage,rolls/buns,misc. beverages,fruit/vegetable juice","fruit vegetable juice,misc beverages,rolls buns,sausage"
whole milk,whole milk
"meat,other vegetables,white bread,newspapers","meat,newspapers,other vegetables,white bread"
"whole milk,rolls/buns,specialty chocolate,candy","candy,rolls buns,specialty chocolate,whole milk"
"beef,root vegetables,whole milk,butter,yogurt,soda,abrasive cleaner,newspapers","abrasive cleaner,beef,butter,newspapers,root vegetables,soda,whole milk,yogurt"
"ham,meat,berries,other vegetables,whole milk,butter,yogurt,processed cheese,specialty cheese,white bread,margarine,specialty bar","berries,butter,ham,margarine,meat,other vegetables,processed cheese,specialty bar,specialty cheese,white bread,whole milk,yogurt"
"sausage,meat,other vegetables,frozen vegetables,rolls/buns","frozen vegetables,meat,other vegetables,rolls buns,sausage"
"sausage,brown bread,roll products,coffee,dish cleaner","brown bread,coffee,dish cleaner,roll products,sausage"
"ham,other vegetables,yogurt,domestic eggs,semi-finished bread,newspapers","domestic eggs,ham,newspapers,other vegetables,semi finished bread,yogurt"
"pork,other vegetables,rolls/buns,canned fish,chocolate","canned fish,chocolate,other vegetables,pork,rolls buns"
"canned beer,specialty bar","canned beer,specialty bar"
"chicken,bottled water,liquor (appetizer)","bottled water,chicken,liquor appetizer "
"beef,hamburger meat,tropical fruit,pip fruit,other vegetables,whole milk,butter milk,yogurt,ice cream,rolls/buns,pastry,fruit/vegetable juice","beef,butter milk,fruit vegetable juice,hamburger meat,ice cream,other vegetables,pastry,pip fruit,rolls buns,tropical fruit,whole milk,yogurt"
"yogurt,condensed milk,pet care,house keeping products,shopping bags","condensed milk,house keeping products,pet care,shopping bags,yogurt"
"tropical fruit,whole milk,margarine,sugar","margarine,sugar,tropical fruit,whole milk"
"chicken,root vegetables,rolls/buns,margarine,bottled water","bottled water,chicken,margarine,rolls buns,root vegetables"
flower soil/fertilizer,flower soil fertilizer
"other vegetables,whole milk,waffles","other vegetables,waffles,whole milk"
"frozen vegetables,domestic eggs,pastry","domestic eggs,frozen vegetables,pastry"
margarine,margarine
meat,meat
"meat,newspapers","meat,newspapers"
"pip fruit,canned beer,white wine","canned beer,pip fruit,white wine"
"ham,citrus fruit,tropical fruit,pip fruit,herbs,other vegetables,whole milk,yogurt,spread cheese,brown bread,dog food,fruit/vegetable juice","brown bread,citrus fruit,dog food,fruit vegetable juice,ham,herbs,other vegetables,pip fruit,spread cheese,tropical fruit,whole milk,yogurt"
"beef,whole milk,margarine,salty snack","beef,margarine,salty snack,whole milk"
"other vegetables,bottled water,bottled beer,waffles","bottled beer,bottled water,other vegetables,waffles"
"ham,tropical fruit,beverages,hard cheese,waffles,chocolate,specialty chocolate,specialty bar","beverages,chocolate,ham,hard cheese,specialty bar,specialty chocolate,tropical fruit,waffles"
"yogurt,frozen vegetables,napkins,newspapers,potted plants","frozen vegetables,napkins,newspapers,potted plants,yogurt"
"other vegetables,frozen fish,vinegar","frozen fish,other vegetables,vinegar"
"whole milk,domestic eggs,cling film/bags","cling film bags,domestic eggs,whole milk"
"root vegetables,UHT-milk,rolls/buns,brown bread,pastry,bottled water","bottled water,brown bread,pastry,rolls buns,root vegetables,uht milk"
"frankfurter,liver loaf,pip fruit,whole milk,yogurt,beverages,cream cheese,frozen vegetables,frozen meals,brown bread,pastry,cereals,bottled water,soda,fruit/vegetable juice,kitchen towels","beverages,bottled water,brown bread,cereals,cream cheese,frankfurter,frozen meals,frozen vegetables,fruit vegetable juice,kitchen towels,liver loaf,pastry,pip fruit,soda,whole milk,yogurt"
bottled beer,bottled beer
"hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,salt,vinegar,oil,margarine,spices,coffee,bottled beer,newspapers","bottled beer,coffee,curd,domestic eggs,hamburger meat,margarine,newspapers,oil,other vegetables,pip fruit,root vegetables,salt,spices,vinegar,whole milk"
"sausage,packaged fruit/vegetables,whole milk,brown bread,bottled water,newspapers","bottled water,brown bread,newspapers,packaged fruit vegetables,sausage,whole milk"
"chicken,beef,root vegetables,brown bread,margarine,cat food,bottled water,soda","beef,bottled water,brown bread,cat food,chicken,margarine,root vegetables,soda"
dishes,dishes
"pork,root vegetables,sliced cheese,specialty chocolate,specialty bar,napkins,shopping bags","napkins,pork,root vegetables,shopping bags,sliced cheese,specialty bar,specialty chocolate"
"frankfurter,chicken,pork,citrus fruit,root vegetables,whole milk,yogurt,brown bread,instant coffee,seasonal products","brown bread,chicken,citrus fruit,frankfurter,instant coffee,pork,root vegetables,seasonal products,whole milk,yogurt"
napkins,napkins
"root vegetables,UHT-milk,soda","root vegetables,soda,uht milk"
"chicken,beef,root vegetables,whole milk,cream cheese,pet care,newspapers","beef,chicken,cream cheese,newspapers,pet care,root vegetables,whole milk"
"frankfurter,rolls/buns","frankfurter,rolls buns"
canned beer,canned beer
canned beer,canned beer
"sausage,ham,grapes,other vegetables,UHT-milk,frozen meals,frozen potato products,rolls/buns,waffles,chocolate,candy","candy,chocolate,frozen meals,frozen potato products,grapes,ham,other vegetables,rolls buns,sausage,uht milk,waffles"
"frankfurter,sausage,pork,sliced cheese,pastry,margarine,newspapers","frankfurter,margarine,newspapers,pastry,pork,sausage,sliced cheese"
bottled water,bottled water
"other vegetables,whole milk,yogurt,ice cream,flour,margarine,baking powder,pudding powder","baking powder,flour,ice cream,margarine,other vegetables,pudding powder,whole milk,yogurt"
rolls/buns,rolls buns
"frankfurter,pork,citrus fruit,other vegetables,domestic eggs,pastry,ketchup,pickled vegetables,soda,syrup,skin care,newspapers","citrus fruit,domestic eggs,frankfurter,ketchup,newspapers,other vegetables,pastry,pickled vegetables,pork,skin care,soda,syrup"
"sausage,whole milk,UHT-milk,rolls/buns,sugar,canned beer,shopping bags","canned beer,rolls buns,sausage,shopping bags,sugar,uht milk,whole milk"
"frankfurter,chicken,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,whipped/sour cream,salad dressing,frozen dessert,frozen potato products,pastry,rice","butter,chicken,curd,frankfurter,frozen dessert,frozen potato products,hamburger meat,other vegetables,pastry,pip fruit,rice,salad dressing,whipped sour cream,whole milk"
"whole milk,pastry","pastry,whole milk"
"beef,citrus fruit,pip fruit,root vegetables,other vegetables,pastry,flour,canned beer,red/blush wine","beef,canned beer,citrus fruit,flour,other vegetables,pastry,pip fruit,red blush wine,root vegetables"
canned beer,canned beer
"frankfurter,margarine,bottled beer","bottled beer,frankfurter,margarine"
"frozen chicken,salty snack","frozen chicken,salty snack"
"pork,whipped/sour cream,ice cream,rolls/buns,bottled water,chocolate,dish cleaner","bottled water,chocolate,dish cleaner,ice cream,pork,rolls buns,whipped sour cream"
"tropical fruit,berries,other vegetables,butter,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns","berries,butter,curd,domestic eggs,hard cheese,other vegetables,rolls buns,tropical fruit,uht milk"
other vegetables,other vegetables
"coffee,soda","coffee,soda"
"meat,other vegetables,whole milk,whipped/sour cream,rolls/buns,margarine,soda,shopping bags","margarine,meat,other vegetables,rolls buns,shopping bags,soda,whipped sour cream,whole milk"
"citrus fruit,soft cheese,rolls/buns,pastry","citrus fruit,pastry,rolls buns,soft cheese"
"citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,curd cheese,frozen vegetables,soups,cat food,chewing gum","cat food,chewing gum,citrus fruit,curd cheese,frozen vegetables,other vegetables,root vegetables,soups,tropical fruit,whipped sour cream,whole milk"
"other vegetables,salty snack,dishes,house keeping products","dishes,house keeping products,other vegetables,salty snack"
"beef,root vegetables","beef,root vegetables"
dishes,dishes
shopping bags,shopping bags
"tropical fruit,other vegetables,whipped/sour cream,beverages,hard cheese,cream cheese,flour,sweet spreads,soda,long life bakery product","beverages,cream cheese,flour,hard cheese,long life bakery product,other vegetables,soda,sweet spreads,tropical fruit,whipped sour cream"
"hamburger meat,other vegetables,sauces,soda,salty snack,newspapers","hamburger meat,newspapers,other vegetables,salty snack,sauces,soda"
"sausage,other vegetables,dessert,pastry,waffles,dish cleaner","dessert,dish cleaner,other vegetables,pastry,sausage,waffles"
"whole milk,curd,semi-finished bread,baking powder,soda","baking powder,curd,semi finished bread,soda,whole milk"
other vegetables,other vegetables
ice cream,ice cream
"turkey,other vegetables,whipped/sour cream,canned vegetables,instant coffee,bottled water,red/blush wine","bottled water,canned vegetables,instant coffee,other vegetables,red blush wine,turkey,whipped sour cream"
"pip fruit,berries,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,margarine","berries,domestic eggs,margarine,other vegetables,pastry,pip fruit,rolls buns,whole milk,yogurt"
"chicken,hamburger meat,root vegetables,onions,other vegetables,whole milk,butter,curd,butter milk,frozen vegetables,domestic eggs,oil,canned vegetables,popcorn","butter,butter milk,canned vegetables,chicken,curd,domestic eggs,frozen vegetables,hamburger meat,oil,onions,other vegetables,popcorn,root vegetables,whole milk"
"root vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,baking powder,liqueur","baking powder,liqueur,rolls buns,root vegetables,whipped sour cream,whole milk,yogurt"
"sausage,meat,rolls/buns,canned beer,popcorn,nut snack,waffles,shopping bags","canned beer,meat,nut snack,popcorn,rolls buns,sausage,shopping bags,waffles"
"pickled vegetables,canned fish,soda,bottled beer,chewing gum,candles","bottled beer,candles,canned fish,chewing gum,pickled vegetables,soda"
"frankfurter,sausage,packaged fruit/vegetables,condensed milk","condensed milk,frankfurter,packaged fruit vegetables,sausage"
"meat,frozen meals,roll products,bottled beer,long life bakery product","bottled beer,frozen meals,long life bakery product,meat,roll products"
"berries,butter milk,yogurt,pet care,soda,napkins","berries,butter milk,napkins,pet care,soda,yogurt"
chewing gum,chewing gum
specialty chocolate,specialty chocolate
sausage,sausage
"butter milk,rolls/buns,long life bakery product","butter milk,long life bakery product,rolls buns"
canned beer,canned beer
"frankfurter,onions,herbs,other vegetables,yogurt,whipped/sour cream,fruit/vegetable juice","frankfurter,fruit vegetable juice,herbs,onions,other vegetables,whipped sour cream,yogurt"
"bottled water,bottled beer","bottled beer,bottled water"
"pork,root vegetables,shopping bags","pork,root vegetables,shopping bags"
bottled beer,bottled beer
soda,soda
"yogurt,beverages,fruit/vegetable juice,detergent,cleaner","beverages,cleaner,detergent,fruit vegetable juice,yogurt"
pet care,pet care
"pork,whole milk,sliced cheese","pork,sliced cheese,whole milk"
"tropical fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables,coffee,bottled water,soda,salty snack,long life bakery product,specialty bar","berries,bottled water,coffee,frozen vegetables,long life bakery product,other vegetables,salty snack,soda,specialty bar,tropical fruit,whipped sour cream,whole milk,yogurt"
"organic sausage,whole milk,yogurt,soft cheese,cream cheese,fruit/vegetable juice,napkins,shopping bags","cream cheese,fruit vegetable juice,napkins,organic sausage,shopping bags,soft cheese,whole milk,yogurt"
"ham,other vegetables,whole milk,butter,yogurt,flour,oil,spices","butter,flour,ham,oil,other vegetables,spices,whole milk,yogurt"
"sausage,hamburger meat,berries,UHT-milk,cat food,soda,salty snack,napkins","berries,cat food,hamburger meat,napkins,salty snack,sausage,soda,uht milk"
"whole milk,pastry","pastry,whole milk"
"frozen fish,canned beer,waffles","canned beer,frozen fish,waffles"
whipped/sour cream,whipped sour cream
"pork,other vegetables,yogurt,white bread,bottled beer,napkins,shopping bags","bottled beer,napkins,other vegetables,pork,shopping bags,white bread,yogurt"
"UHT-milk,bottled water,specialty chocolate","bottled water,specialty chocolate,uht milk"
misc. beverages,misc beverages
specialty chocolate,specialty chocolate
sausage,sausage
frozen meals,frozen meals
"specialty chocolate,specialty bar","specialty bar,specialty chocolate"
"whole milk,butter,curd,yogurt,whipped/sour cream,rolls/buns","butter,curd,rolls buns,whipped sour cream,whole milk,yogurt"
"whole milk,yogurt,soda,canned beer","canned beer,soda,whole milk,yogurt"
"pip fruit,root vegetables,butter,UHT-milk,rolls/buns,coffee,soda,bottled beer,red/blush wine","bottled beer,butter,coffee,pip fruit,red blush wine,rolls buns,root vegetables,soda,uht milk"
"frozen meals,soda","frozen meals,soda"
"frankfurter,other vegetables,whole milk,spread cheese,sugar,soda,bottled beer,house keeping products","bottled beer,frankfurter,house keeping products,other vegetables,soda,spread cheese,sugar,whole milk"
"pip fruit,onions,other vegetables,whole milk,butter,soft cheese,domestic eggs,white bread,margarine,cocoa drinks,bottled water,fruit/vegetable juice,chocolate","bottled water,butter,chocolate,cocoa drinks,domestic eggs,fruit vegetable juice,margarine,onions,other vegetables,pip fruit,soft cheese,white bread,whole milk"
"rolls/buns,rice,canned fish,cocoa drinks,bottled beer,red/blush wine,waffles,chocolate","bottled beer,canned fish,chocolate,cocoa drinks,red blush wine,rice,rolls buns,waffles"
"sausage,ham,other vegetables,whole milk,curd,cream cheese,processed cheese,frozen potato products,pastry","cream cheese,curd,frozen potato products,ham,other vegetables,pastry,processed cheese,sausage,whole milk"
"pet care,instant coffee,soda,specialty chocolate","instant coffee,pet care,soda,specialty chocolate"
instant coffee,instant coffee
"other vegetables,specialty bar","other vegetables,specialty bar"
"herbs,bottled water,napkins","bottled water,herbs,napkins"
"meat,dessert,UHT-milk,rice,specialty bar,napkins,candles","candles,dessert,meat,napkins,rice,specialty bar,uht milk"
"pip fruit,root vegetables,other vegetables,dessert,domestic eggs,margarine,cereals,soda,candles","candles,cereals,dessert,domestic eggs,margarine,other vegetables,pip fruit,root vegetables,soda"
"citrus fruit,soft cheese,domestic eggs,pastry,oil,baking powder,pickled vegetables,dog food,coffee","baking powder,citrus fruit,coffee,dog food,domestic eggs,oil,pastry,pickled vegetables,soft cheese"
"sausage,meat,chicken,pip fruit,whole milk,dessert,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pickled vegetables,soda,fruit/vegetable juice,salty snack,long life bakery product,waffles,potted plants","chicken,dessert,domestic eggs,fruit vegetable juice,long life bakery product,meat,pickled vegetables,pip fruit,potted plants,processed cheese,rolls buns,salty snack,sausage,soda,waffles,whipped sour cream,white bread,whole milk"
"frankfurter,whipped/sour cream,condensed milk,rolls/buns,bottled water,soda,bottled beer,specialty bar","bottled beer,bottled water,condensed milk,frankfurter,rolls buns,soda,specialty bar,whipped sour cream"
canned beer,canned beer
canned beer,canned beer
